SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,15 Newport St #15,Arlington,MA,02476,709900,3,2,Arlington,1750,,1916,5,406,282,Active,,,http://www.redfin.com/MA/Arlington/15-Newport-St-02476/unit-15/home/77505810,MLS PIN,72323234,N,Y,42.4163472,-71.1684545
MLS Listing,,Condo/Co-op,1 Watermill Pl #527,Arlington,MA,02476,429000,1,1.5,Arlington Heights,759,,1988,3,565,436,Active,,,http://www.redfin.com/MA/Arlington/1-Watermill-Pl-02476/unit-527/home/8421788,MLS PIN,72325279,N,Y,42.4252188,-71.1788744
MLS Listing,,Single Family Residential,147 George St,Arlington,MA,02476,1599000,5,3,Arlington Heights,3880,6000,2018,3,412,,Active,,,http://www.redfin.com/MA/Arlington/147-George-St-02476/home/8455193,MLS PIN,72325089,N,Y,42.412529,-71.1844208
MLS Listing,,Single Family Residential,77 Arlmont St,Arlington,MA,02476,659000,3,1.5,Arlington,1248,4294,1955,4,528,,Active,May-14-2018 05:00 PM,May-14-2018 06:30 PM,http://www.redfin.com/MA/Arlington/77-Arlmont-St-02476/home/8451542,MLS PIN,72324767,N,Y,42.4095344,-71.1726781
MLS Listing,,Single Family Residential,56 School St,Arlington,MA,02476,850000,4,1.5,Brackett School District,2330,5962,1928,4,365,,Active,,,http://www.redfin.com/MA/Arlington/56-School-St-02476/home/8444736,MLS PIN,72324477,N,Y,42.4191976,-71.1723532
MLS Listing,,Single Family Residential,179 Scituate St,Arlington,MA,02476,999000,4,2,Arlington Heights,2352,4950,1923,4,425,,Active,,,http://www.redfin.com/MA/Arlington/179-Scituate-St-02476/home/8451760,MLS PIN,72324328,N,Y,42.4116348,-71.1749988
MLS Listing,,Condo/Co-op,993 Massachusetts Ave #314,Arlington,MA,02476,459000,2,2,Arlington,942,,1971,5,487,459,Active,,,http://www.redfin.com/MA/Arlington/993-Massachusetts-Ave-02476/unit-314/home/8418834,MLS PIN,72323912,N,Y,42.4199377,-71.1676246
MLS Listing,,Single Family Residential,25 Lancaster Rd,Arlington,MA,02476,489000,3,2,Arlington,1235,4620,1880,6,396,,Active,,,http://www.redfin.com/MA/Arlington/25-Lancaster-Rd-02476/home/8461872,MLS PIN,72322863,N,Y,42.4244713,-71.1918468
MLS Listing,,Single Family Residential,15 Hillcrest St,Arlington,MA,02476,749000,4,1,Brackett/Arlington Heights,1465,10076,1936,11,511,,Active,,,http://www.redfin.com/MA/Arlington/15-Hillcrest-St-02476/home/8451639,MLS PIN,72320180,N,Y,42.4109595,-71.176484
MLS Listing,,Single Family Residential,4 Wollaston Ave,Arlington,MA,02476,1289000,5,3.5,Arlington Heights,3064,8004,1930,11,421,,Active,,,http://www.redfin.com/MA/Arlington/4-Wollaston-Ave-02476/home/8460237,MLS PIN,72320069,N,Y,42.4229766,-71.1839102
MLS Listing,,Single Family Residential,438 Appleton St,Arlington,MA,02476,799900,5,3,Arlington,1901,6550,1951,11,421,,Active,,,http://www.redfin.com/MA/Arlington/438-Appleton-St-02476/home/11536386,MLS PIN,72319907,N,Y,42.4190732,-71.1958846
MLS Listing,,Condo/Co-op,37 Williams St #37,Arlington,MA,02476,649900,3,2,Arlington Heights,1174,2730,1922,12,554,,Active,May-14-2018 05:00 PM,May-14-2018 06:30 PM,http://www.redfin.com/MA/Arlington/37-Williams-St-02476/unit-37/home/145550647,MLS PIN,72319556,N,Y,42.4229434,-71.1918584
MLS Listing,,Single Family Residential,37 Williams St,Arlington,MA,02476,649900,3,2,Arlington Heights,1174,2730,1922,12,554,,Active,May-14-2018 05:00 PM,May-14-2018 06:30 PM,http://www.redfin.com/MA/Arlington/37-Williams-St-02476/home/8462853,MLS PIN,72319464,N,Y,42.4229434,-71.1918584
MLS Listing,,Single Family Residential,62 Kensington Park,Arlington,MA,02476,1675000,6,4.5,Jason Heights,4054,6000,2017,12,413,,Active,,,http://www.redfin.com/MA/Arlington/62-Kensington-Park-02476/home/8447424,MLS PIN,72319263,N,Y,42.4097718,-71.1622811
MLS Listing,,Condo/Co-op,1283 Massachusetts Ave #3,Arlington,MA,02476,429000,2,1,Arlington,1022,,1910,12,420,75,Active,,,http://www.redfin.com/MA/Arlington/1283-Massachusetts-Ave-02476/unit-3/home/8468085,MLS PIN,72319032,N,Y,42.4243853,-71.1808469
MLS Listing,,Condo/Co-op,53 Appleton St #3,Arlington,MA,02476,395000,1,1.5,Arlington,836,,1890,20,472,562,Active,,,http://www.redfin.com/MA/Arlington/53-Appleton-St-02476/unit-3/home/8458627,MLS PIN,72314209,N,Y,42.4230835,-71.1789672
MLS Listing,,Condo/Co-op,1 Watermill Pl Unit 230,Arlington,MA,02476,420000,1,1.5,Arlington Heights,969,,1988,32,433,440,Active,,,http://www.redfin.com/MA/Arlington/1-Watermill-Pl-02476/unit-230/home/8421453,MLS PIN,72308224,N,Y,42.4252188,-71.1788744
